method,p
clustalo,0.02524359599405726
coati-dna,0.032733632843829234
coati-mar-ecm,0.03264851431986839
coati-mar-mg,0.032781024277118306
coati-tri-ecm,0.033047525492208005
coati-tri-mg,0.03276361990912533
macse,0.025372895306906163
mafft,0.02519372064646844
prank,0.03520794183012051
rev-coati-tri-mg,0.03254557741368692
